conv_layers,conv_layer_size,dense_layers,dense_layer_size,batch_size,epochs,optimizer,loss_function,accuracy,loss
1,10,2,50,64,3,adam,binary_crossentropy,0.7726,0.4699920618057251
1,10,2,50,64,4,adam,binary_crossentropy,0.769,0.47453328895568847
1,10,2,50,64,5,adam,binary_crossentropy,0.7836,0.4547870140075684
1,10,2,5,128,1,adam,binary_crossentropy,0.7334,0.5320611798286438
1,10,2,5,128,2,adam,binary_crossentropy,0.7492,0.5140121781349182
1,10,2,5,128,3,adam,binary_crossentropy,0.7576,0.5100611004829406
1,10,2,5,128,4,adam,binary_crossentropy,0.7542,0.5182496490478515
1,10,2,5,128,5,adam,binary_crossentropy,0.7596,0.5233168804168701
1,10,2,5,32,1,adam,binary_crossentropy,0.743,0.511920548248291
1,10,2,5,32,2,adam,binary_crossentropy,0.7518,0.5061017998695374
1,10,2,5,32,3,adam,binary_crossentropy,0.7392,0.5269660877227783
1,10,2,5,32,4,adam,binary_crossentropy,0.7548,0.5124082284927368
1,10,2,5,32,5,adam,binary_crossentropy,0.5,0.6931899189949036
1,10,2,5,64,1,adam,binary_crossentropy,0.7308,0.5385186719894409
1,10,2,5,64,2,adam,binary_crossentropy,0.7452,0.5242232976913452
1,10,2,5,64,3,adam,binary_crossentropy,0.755,0.49435706939697266
1,10,2,5,64,4,adam,binary_crossentropy,0.7444,0.5084050998687745
1,10,2,5,64,5,adam,binary_crossentropy,0.7602,0.48550193719863893
1,10,3,10,128,1,adam,binary_crossentropy,0.7484,0.5200069137573242
1,10,3,10,128,2,adam,binary_crossentropy,0.7302,0.5228012538909912
1,10,3,10,128,3,adam,binary_crossentropy,0.7518,0.5093651542663574
1,10,3,10,128,4,adam,binary_crossentropy,0.762,0.48881886358261106
1,10,3,10,128,5,adam,binary_crossentropy,0.7692,0.4840387294769287
1,10,3,10,32,1,adam,binary_crossentropy,0.7474,0.5103163378715515
1,10,3,10,32,2,adam,binary_crossentropy,0.7646,0.4913642686843872
1,10,3,10,32,3,adam,binary_crossentropy,0.733,0.5138643312454224
1,10,3,10,32,4,adam,binary_crossentropy,0.7742,0.47545236568450927
1,10,3,10,32,5,adam,binary_crossentropy,0.7688,0.47678773908615113
1,10,3,10,64,1,adam,binary_crossentropy,0.738,0.5316210759162903
1,10,3,10,64,2,adam,binary_crossentropy,0.757,0.48970341739654544
1,10,3,10,64,3,adam,binary_crossentropy,0.7594,0.5073206071853638
1,10,3,10,64,4,adam,binary_crossentropy,0.7526,0.5017118556976319
1,10,3,10,64,5,adam,binary_crossentropy,0.7594,0.48913431539535523
1,10,3,50,128,1,adam,binary_crossentropy,0.737,0.5183843450546265
1,10,3,50,128,2,adam,binary_crossentropy,0.7502,0.5036442865371704
1,10,3,50,128,3,adam,binary_crossentropy,0.7644,0.4797503526687622
1,10,3,50,128,4,adam,binary_crossentropy,0.7752,0.4650016424179077
1,10,3,50,128,5,adam,binary_crossentropy,0.7786,0.4606922784805298
1,10,3,50,32,1,adam,binary_crossentropy,0.7622,0.4938619120597839
1,10,3,50,32,2,adam,binary_crossentropy,0.7766,0.47430183458328246
1,10,3,50,32,3,adam,binary_crossentropy,0.7756,0.46440621280670163
1,10,3,50,32,4,adam,binary_crossentropy,0.7836,0.4554566371917725
1,10,3,50,32,5,adam,binary_crossentropy,0.7766,0.4671090045928955
1,10,3,50,64,1,adam,binary_crossentropy,0.7602,0.4962292007446289
1,10,3,50,64,2,adam,binary_crossentropy,0.7674,0.4830563591003418
1,10,3,50,64,3,adam,binary_crossentropy,0.7656,0.47838110618591306
1,10,3,50,64,4,adam,binary_crossentropy,0.7718,0.47119344024658205
1,10,3,50,64,5,adam,binary_crossentropy,0.7822,0.45726771602630617
1,10,3,5,128,1,adam,binary_crossentropy,0.7402,0.5472695960044861
1,10,3,5,128,2,adam,binary_crossentropy,0.749,0.5146435652732849
1,10,3,5,128,3,adam,binary_crossentropy,0.7578,0.5400265075683593
1,10,3,5,128,4,adam,binary_crossentropy,0.7076,0.544822081565857
1,10,3,5,128,5,adam,binary_crossentropy,0.7682,0.481452619934082
1,10,3,5,32,1,adam,binary_crossentropy,0.742,0.5309580593109131
1,10,3,5,32,2,adam,binary_crossentropy,0.5,0.6931487321853638
1,10,3,5,32,3,adam,binary_crossentropy,0.7584,0.5191556852340699
1,10,3,5,32,4,adam,binary_crossentropy,0.7556,0.49158594207763673
1,10,3,5,32,5,adam,binary_crossentropy,0.765,0.4857740714073181
1,10,3,5,64,1,adam,binary_crossentropy,0.7438,0.5265690081596375
1,10,3,5,64,2,adam,binary_crossentropy,0.75,0.5088023290634155
1,10,3,5,64,3,adam,binary_crossentropy,0.756,0.49894542036056516
1,10,3,5,64,4,adam,binary_crossentropy,0.7586,0.5065218454360962
1,10,3,5,64,5,adam,binary_crossentropy,0.7428,0.5122342703819275
1,25,1,10,128,1,adam,binary_crossentropy,0.7322,0.5234801630973815
1,25,1,10,128,2,adam,binary_crossentropy,0.762,0.5016540963172913
1,25,1,10,128,3,adam,binary_crossentropy,0.745,0.5118598877906799
1,25,1,10,128,4,adam,binary_crossentropy,0.766,0.4921424276351929
1,25,1,10,32,1,adam,binary_crossentropy,0.7482,0.5156523193359375
1,25,1,10,32,2,adam,binary_crossentropy,0.7576,0.4950849225997925
1,25,1,10,32,3,adam,binary_crossentropy,0.7548,0.5031562715530395
1,25,1,10,32,4,adam,binary_crossentropy,0.77,0.4852425314903259
1,25,1,10,32,5,adam,binary_crossentropy,0.7692,0.49048356494903567
1,25,1,10,64,1,adam,binary_crossentropy,0.7396,0.5278707617759705
1,25,1,10,64,2,adam,binary_crossentropy,0.7468,0.5053617707252502
1,25,1,10,64,3,adam,binary_crossentropy,0.7642,0.49303655042648314
1,25,1,10,64,4,adam,binary_crossentropy,0.7528,0.4941544997215271
1,25,1,10,64,5,adam,binary_crossentropy,0.7714,0.4756618211746216
1,25,1,5,128,1,adam,binary_crossentropy,0.6976,0.5850310152053833
1,25,1,5,128,2,adam,binary_crossentropy,0.7532,0.5323642293930053
1,25,1,5,128,3,adam,binary_crossentropy,0.7486,0.5155168913841247
1,25,1,5,128,4,adam,binary_crossentropy,0.7556,0.5017314832687378
1,25,1,5,128,5,adam,binary_crossentropy,0.7722,0.4854746056556702
1,25,1,5,32,1,adam,binary_crossentropy,0.7544,0.554119843673706
1,25,1,5,32,2,adam,binary_crossentropy,0.736,0.529625085067749
1,25,1,5,32,3,adam,binary_crossentropy,0.7566,0.5077371118545532
1,25,1,5,32,4,adam,binary_crossentropy,0.7654,0.48276395683288575
1,25,1,5,32,5,adam,binary_crossentropy,0.776,0.46800825729370116
