loss,accuracy,0 true,1 true,conv_layers,conv_nodes,dense_layers,dense_nodes,optimizer,loss_function,epoch,batch_size
0.066007,0.8199999928474426,2030,2070,1,10,1,128,adam,huber_loss,20,128
0.06851,0.8094000220298767,1881,2166,1,10,1,128,Nadam,huber_loss,20,64
0.44687,0.819599986076355,1988,2110,1,10,2,128,Nadam,binary_crossentropy,20,128
0.068834,0.8098000288009644,1993,2056,1,10,2,128,Nadam,huber_loss,20,128
0.06887,0.8104000091552734,2035,2017,1,10,2,128,Nadam,huber_loss,20,64
0.065596,0.817799985408783,1975,2114,1,20,1,128,Nadam,huber_loss,20,64
0.06639,0.8155999779701233,1986,2092,1,20,2,128,Nadam,huber_loss,20,128
0.065266,0.8217999935150146,2009,2100,2,10,1,128,Nadam,huber_loss,20,64
0.06457,0.8267999887466431,1998,2136,2,20,1,128,adam,huber_loss,20,128
0.458149,0.8252000212669373,1986,2140,2,20,1,128,Nadam,binary_crossentropy,20,128
0.064445,0.8285999894142151,2019,2124,2,20,1,128,Nadam,huber_loss,20,128
0.495401,0.8208000063896179,2036,2068,2,20,1,128,adam,binary_crossentropy,20,64
0.064963,0.8248000144958496,1943,2181,2,20,1,128,adam,huber_loss,20,64
0.520817,0.83160001039505,2014,2144,2,20,1,128,Nadam,binary_crossentropy,20,64
0.064675,0.8252000212669373,1983,2143,2,20,1,128,Nadam,huber_loss,20,64
0.469747,0.8154000043869019,1914,2163,2,20,1,64,Nadam,binary_crossentropy,20,64
0.067575,0.8169999718666077,1918,2167,2,20,2,128,adam,huber_loss,20,128
0.449477,0.8194000124931335,1969,2128,2,20,2,128,Nadam,binary_crossentropy,20,128
0.06606,0.8230000138282776,2022,2093,2,20,2,128,Nadam,huber_loss,20,64
0.472003,0.8100000023841858,2065,1985,2,20,3,128,Nadam,binary_crossentropy,20,128
