loss,accuracy,0 true,1 true,conv_layers,conv_nodes,dense_layers,dense_nodes,optimizer,loss_function,epoch,batch_size
0.078586,0.765999972820282,1647,2183,1,20,1,32,adam,huber_loss,10,128
0.459378,0.77920001745224,1881,2015,1,20,1,32,Nadam,binary_crossentropy,10,128
0.07495,0.7766000032424927,1921,1962,1,20,1,32,Nadam,huber_loss,10,128
0.456618,0.775600016117096,2003,1875,1,20,1,32,adam,binary_crossentropy,10,64
0.074623,0.7784000039100647,1872,2020,1,20,1,32,adam,huber_loss,10,64
0.470926,0.7671999931335449,1921,1915,1,20,1,32,Nadam,binary_crossentropy,10,64
0.075594,0.7850000262260437,2049,1876,1,20,1,32,Nadam,huber_loss,10,64
0.443651,0.7857999801635742,1860,2069,1,20,1,64,adam,binary_crossentropy,10,128
0.075026,0.77920001745224,1973,1923,1,20,1,64,adam,huber_loss,10,128
0.461771,0.7803999781608582,1983,1919,1,20,1,64,Nadam,binary_crossentropy,10,128
0.073142,0.7892000079154968,1955,1991,1,20,1,64,Nadam,huber_loss,10,128
0.445066,0.7901999950408936,1846,2105,1,20,1,64,adam,binary_crossentropy,10,64
0.074873,0.7824000120162964,1994,1918,1,20,1,64,adam,huber_loss,10,64
0.455025,0.7796000242233276,1809,2089,1,20,1,64,Nadam,binary_crossentropy,10,64
0.073717,0.7874000072479248,1903,2034,1,20,1,64,Nadam,huber_loss,10,64
0.463316,0.7900000214576721,1934,2016,1,20,2,128,adam,binary_crossentropy,10,128
0.073691,0.7882000207901001,2019,1922,1,20,2,128,adam,huber_loss,10,128
0.449664,0.7973999977111816,1872,2115,1,20,2,128,Nadam,binary_crossentropy,10,128
0.071054,0.800599992275238,1964,2039,1,20,2,128,Nadam,huber_loss,10,128
0.45383,0.7901999950408936,1961,1990,1,20,2,128,adam,binary_crossentropy,10,64
0.072914,0.7964000105857849,1967,2015,1,20,2,128,adam,huber_loss,10,64
0.478851,0.7901999950408936,2096,1855,1,20,2,128,Nadam,binary_crossentropy,10,64
0.072194,0.7955999970436096,1965,2013,1,20,2,128,Nadam,huber_loss,10,64
0.468904,0.7770000100135803,1916,1969,1,20,2,32,adam,binary_crossentropy,10,128
0.076036,0.7788000106811523,1895,1999,1,20,2,32,adam,huber_loss,10,128
0.466124,0.7770000100135803,1981,1904,1,20,2,32,Nadam,binary_crossentropy,10,128
0.075618,0.77920001745224,1934,1962,1,20,2,32,Nadam,huber_loss,10,128
0.468731,0.7674000263214111,1771,2066,1,20,2,32,adam,binary_crossentropy,10,64
0.077356,0.7799999713897705,1911,1989,1,20,2,32,adam,huber_loss,10,64
0.463378,0.7784000039100647,1894,1998,1,20,2,32,Nadam,binary_crossentropy,10,64
0.078446,0.7657999992370605,2058,1771,1,20,2,32,Nadam,huber_loss,10,64
0.455017,0.7879999876022339,2063,1877,1,20,2,64,adam,binary_crossentropy,10,128
0.072811,0.7882000207901001,2012,1929,1,20,2,64,adam,huber_loss,10,128
0.454126,0.7851999998092651,2006,1920,1,20,2,64,Nadam,binary_crossentropy,10,128
0.07396,0.7918000221252441,2011,1948,1,20,2,64,Nadam,huber_loss,10,128
0.46191,0.7815999984741211,1961,1947,1,20,2,64,adam,binary_crossentropy,10,64
0.073893,0.7879999876022339,1819,2121,1,20,2,64,adam,huber_loss,10,64
0.453061,0.7817999720573425,1962,1947,1,20,2,64,Nadam,binary_crossentropy,10,64
0.073642,0.7914000153541565,1874,2083,1,20,2,64,Nadam,huber_loss,10,64
0.469144,0.7871999740600586,1961,1975,1,20,3,128,adam,binary_crossentropy,10,128
0.076015,0.7870000004768372,1852,2083,1,20,3,128,adam,huber_loss,10,128
0.453033,0.7973999977111816,1872,2115,1,20,3,128,Nadam,binary_crossentropy,10,128
0.073961,0.7888000011444092,1980,1964,1,20,3,128,Nadam,huber_loss,10,128
0.475648,0.7910000085830688,1929,2026,1,20,3,128,adam,binary_crossentropy,10,64
0.074068,0.7910000085830688,1990,1965,1,20,3,128,adam,huber_loss,10,64
0.448911,0.7907999753952026,1912,2042,1,20,3,128,Nadam,binary_crossentropy,10,64
0.074738,0.7851999998092651,1984,1942,1,20,3,128,Nadam,huber_loss,10,64
0.468385,0.7757999897003174,1899,1980,1,20,3,32,adam,binary_crossentropy,10,128
0.07603,0.7806000113487244,1925,1978,1,20,3,32,adam,huber_loss,10,128
0.491299,0.7674000263214111,1937,1900,1,20,3,32,Nadam,binary_crossentropy,10,128
0.078071,0.7742000222206116,2043,1828,1,20,3,32,Nadam,huber_loss,10,128
0.480914,0.7699999809265137,1936,1914,1,20,3,32,adam,binary_crossentropy,10,64
0.082514,0.7567999958992004,1715,2069,1,20,3,32,adam,huber_loss,10,64
0.519855,0.7631999850273132,1694,2122,1,20,3,32,Nadam,binary_crossentropy,10,64
0.076034,0.7839999794960022,1971,1949,1,20,3,32,Nadam,huber_loss,10,64
0.458159,0.7811999917030334,1921,1985,1,20,3,64,adam,binary_crossentropy,10,128
0.074449,0.7864000201225281,2008,1924,1,20,3,64,adam,huber_loss,10,128
0.458605,0.7883999943733215,2023,1919,1,20,3,64,Nadam,binary_crossentropy,10,128
0.07457,0.7871999740600586,2045,1891,1,20,3,64,Nadam,huber_loss,10,128
0.463577,0.7839999794960022,1984,1936,1,20,3,64,adam,binary_crossentropy,10,64
0.076138,0.7835999727249146,1973,1945,1,20,3,64,adam,huber_loss,10,64
0.454633,0.7961999773979187,2002,1979,1,20,3,64,Nadam,binary_crossentropy,10,64
0.075001,0.7811999917030334,1992,1914,1,20,3,64,Nadam,huber_loss,10,64
0.076471,0.776199996471405,1960,1921,1,5,1,32,Nadam,huber_loss,10,64
0.451129,0.7807999849319458,1900,2004,2,10,1,128,adam,binary_crossentropy,10,128
0.072231,0.7940000295639038,1889,2081,2,10,1,128,adam,huber_loss,10,128
0.438955,0.7940000295639038,1972,1998,2,10,1,128,Nadam,binary_crossentropy,10,128
0.072496,0.7886000275611877,1927,2016,2,10,1,128,Nadam,huber_loss,10,128
0.451308,0.7979999780654907,1940,2050,2,10,1,128,adam,binary_crossentropy,10,64
0.072019,0.7942000031471252,1838,2133,2,10,1,128,adam,huber_loss,10,64
0.448624,0.7947999835014343,2029,1945,2,10,1,128,Nadam,binary_crossentropy,10,64
0.073654,0.7991999983787537,1869,2127,2,10,1,128,Nadam,huber_loss,10,64
0.464021,0.7728000283241272,1890,1974,2,10,1,32,adam,binary_crossentropy,10,128
0.076389,0.7778000235557556,1901,1988,2,10,1,32,adam,huber_loss,10,128
0.468086,0.7662000060081482,1726,2105,2,10,1,32,Nadam,binary_crossentropy,10,128
0.076098,0.7760000228881836,1970,1910,2,10,1,32,Nadam,huber_loss,10,128
0.450496,0.7820000052452087,1811,2099,2,10,1,32,adam,binary_crossentropy,10,64
0.07469,0.7838000059127808,1839,2080,2,10,1,32,adam,huber_loss,10,64
0.45915,0.7807999849319458,1894,2010,2,10,1,32,Nadam,binary_crossentropy,10,64
0.076117,0.7770000100135803,1918,1967,2,10,1,32,Nadam,huber_loss,10,64
0.454868,0.7771999835968018,1961,1925,2,10,1,64,adam,binary_crossentropy,10,128
0.075084,0.7764000296592712,1990,1892,2,10,1,64,adam,huber_loss,10,128
0.445169,0.7857999801635742,1936,1993,2,10,1,64,Nadam,binary_crossentropy,10,128
0.073849,0.7807999849319458,1901,2003,2,10,1,64,Nadam,huber_loss,10,128
0.457297,0.7820000052452087,2011,1899,2,10,1,64,adam,binary_crossentropy,10,64
0.075453,0.7825999855995178,1930,1983,2,10,1,64,adam,huber_loss,10,64
0.44874,0.7889999747276306,1890,2055,2,10,1,64,Nadam,binary_crossentropy,10,64
0.074502,0.7789999842643738,1952,1943,2,10,1,64,Nadam,huber_loss,10,64
0.453457,0.7861999869346619,1982,1949,2,10,2,128,adam,binary_crossentropy,10,128
0.073796,0.7874000072479248,1923,2014,2,10,2,128,adam,huber_loss,10,128
0.444571,0.7915999889373779,1904,2054,2,10,2,128,Nadam,binary_crossentropy,10,128
0.072569,0.7932000160217285,1921,2045,2,10,2,128,Nadam,huber_loss,10,128
0.440558,0.7983999848365784,1916,2076,2,10,2,128,adam,binary_crossentropy,10,64
0.073702,0.7875999808311462,1948,1990,2,10,2,128,adam,huber_loss,10,64
0.447707,0.7986000180244446,1973,2020,2,10,2,128,Nadam,binary_crossentropy,10,64
0.07138,0.7991999983787537,1949,2047,2,10,2,128,Nadam,huber_loss,10,64
